filename,mode,true_label,predicted_label,confidence
real_1.mp4,efficientnet_b4,REAL,FAKE,0.9564450979232788
real_1.mp4,xception,REAL,REAL,0.5472808480262756
real_1.mp4,vit_base,REAL,FAKE,0.9436621069908142
real_1.mp4,efficientnet_b7,REAL,FAKE,0.6505249738693237
real_1.mp4,mesonet4,REAL,REAL,0.601393481095632
real_1.mp4,ensemble,REAL,FAKE,0.9564450979232788
real_2.mp4,efficientnet_b4,REAL,FAKE,0.96023162206014
real_2.mp4,xception,REAL,REAL,0.5473270813624064
real_2.mp4,vit_base,REAL,FAKE,0.945364236831665
real_2.mp4,efficientnet_b7,REAL,FAKE,0.7148574392000834
real_2.mp4,mesonet4,REAL,REAL,0.6013736327489217
real_2.mp4,ensemble,REAL,FAKE,0.96023162206014
fake_1.mp4,efficientnet_b4,FAKE,FAKE,0.9236076474189758
fake_1.mp4,xception,FAKE,REAL,0.5428034663200378
fake_1.mp4,vit_base,FAKE,FAKE,0.9457291762034098
fake_1.mp4,efficientnet_b7,FAKE,FAKE,0.5437626838684082
fake_1.mp4,mesonet4,FAKE,REAL,0.6013760964075724
fake_1.mp4,ensemble,FAKE,FAKE,0.9457291762034098
fake_2.mp4,efficientnet_b4,FAKE,FAKE,0.9104191660881042
fake_2.mp4,xception,FAKE,REAL,0.5393253167470297
fake_2.mp4,vit_base,FAKE,FAKE,0.9559098482131958
fake_2.mp4,efficientnet_b7,FAKE,FAKE,0.7472752531369528
fake_2.mp4,mesonet4,FAKE,REAL,0.601962169011434
fake_2.mp4,ensemble,FAKE,FAKE,0.9559098482131958
